Date,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1/11/2018,0,3.019,6.473,6.569,6.584,6.558,5.572,3.967,2.889,1.656,0.099,0,0,0,0,0,0,0,0,0,0,1.715,1.762,1.756,2.348,3.248,2.336,1.219,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.059,3.292,4.611,6.575,9.639,9.828,12.747,14.707,16.194,18.738,17.502,16.068,13.145,8.648,4.938,3.199,3.218,3.222,3.037,1.68,0.038,0.001,0,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,2.354,2.463
1/12/2018,5.562,5.806,8.86,9.052,9.064,9.061,11.286,9.448,7.502,5.847,5.816,5.818,5.804,5.806,5.794,5.795,5.786,5.561,3.56,0.332,0,3.082,3.261,3.248,3.023,1.887,0.714,0,0,1.948,5.62,5.484,3.258,2.874,1.52,0.001,0,0,0,0,2.896,3.281,3.28,3.285,2.823,0,0,2.864,6.033,3.183,3.214,3.201,0,0,0,2.755,9.736,13.048,13.135,13.106,13.097,11.592,7.802,4.109,3.289,3.276,2.396,0.999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.033,2.459,2.469
1/13/2018,2.472,8.332,9.08,11.732,12.346,12.226,14.27,12.676,11.686,11.682,11.558,10.177,7.056,5.226,5.229,5.23,5.227,5.227,5.226,5.23,4.515,2.865,2.125,0.803,0,0,0,3.092,3.286,3.287,3.292,3.298,3.295,3.305,3.308,2.688,1.118,0,0,0,0,3.105,2.61,0.401,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,3.24,3.346,3.334,3.334,3.321,3.315,3.314,3.369,3.358,3.323,3.279,1.92,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
1/14/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.069,3.326,3.319,6.341,6.673,6.649,6.62,6.31,4.685,1.716,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0
1/15/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,3.178,3.302,3.297,3.299,3.297,3.299,3.277,2.249,1.172,0,0,0,0,5.354,6.504,6.444,8.162,12.652,11.512,9.92,12.667,13.986,7.798,6.597,6.321,4.832,3.295,3.304,3.298,3.295,3.292,2.165,0.649,0.001,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,3.19,6.442,6.547,6.522,6.544,6.543
1/16/2018,8.798,8.365,6.692,7.92,6.89,8.801,8.995,8.301,6.609,5.779,5.777,5.447,4.481,1.114,0,0,0,0,0,0,0.001,0.003,0.008,0.008,2.981,4.405,3.251,0.685,0.008,0.009,0.008,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.677,0,2.6,3.26,6.261,12.842,17.522,17.225,16.097,15.73,12.897,9.653,6.58,6.573,6.578,5.704,3.18,0.859,0,0,0.001,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.399,2.486,2.505,2.481,2.475
1/17/2018,2.475,5.384,8.323,6.774,6.495,9.628,9.105,6.859,4.436,1.672,0.001,0.001,0,0,0,0,0,0.001,0.001,0,0,0,0.756,0,0,0,0,0,3.202,3.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.799,3.302,4.302,6.394,12.404,11.418,6.563,6.328,7.799,8.865,11.691,10.1,9.732,9.724,9.758,12.492,10.961,9.743,9.508,6.948,3.623,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,3.088,3.239,6.457
1/18/2018,6.562,8.884,12.043,15.049,14.303,11.922,11.028,9.09,9.1,9.106,9.11,9.089,7.918,6.321,5.822,5.824,5.806,4.674,3.351,6.385,6.589,6.642,6.645,6.596,6.568,3.244,4.008,3.278,3.277,3.284,3.276,3.278,3.066,1.704,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,3.164,3.253,3.251,3.239,0,3.113,3.292,3.291,6.206,8.01,6.558,6.191,4.871,3.276,8.732,9.833,9.614,6.86,3.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.707,5.544,5.772,5.703,5.768,5.769
1/19/2018,5.646,2.479,8.726,9.064,9.082,9.072,9.068,8.394,7.021,4.085,3.333,3.147,1.769,0.173,0,0,0.001,0.001,0,0,0,0,0,0,0,0,2.458,3.303,3.301,3.213,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.175,2.299,0,0,3.139,3.279,3.275,6.43,6.532,12.837,13.02,13.024,16.209,16.327,15.332,16.722,15.186,13.852,13.079,13.097,12.833,9.562,5.992,4.198,3.315,3.115,1.794,0.17,0,0,0,0,0,0,0,0.005,0.008,0.008,0.008,0.008,0.008,0.008,3.16,5.601,5.727,5.73,5.732
1/20/2018,8.887,12.155,15.209,14.772,15.739,13.256,10.088,9.027,7.779,6.621,6.616,6.61,6.605,6.562,5.157,2.357,0.047,0.009,0.008,0.008,0.008,0.008,0.008,2.133,0.787,0.008,0.008,0.008,3.289,3.357,3.341,3.317,4.267,4.059,1.013,0,0,0,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0.001,0,0,0,0,2.232,3.329,3.351,3.345,3.347,3.353,3.349,3.346,3.325,3.335,3.322,3.17,1.78,0.161,0.008,0.008,0.008,0.008,1.304,0.682,0,0,0,0,0.001,0,0,0.002,0.008,0.008,0.008,0.008,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.008
