timestamp,Time ,Garbage,value
2018-01-01 23:45,2018-01-01 23:45:00 PST,62.2kW,62.2
2018-01-02 0:00,2018-01-02 00:00:00 PST,68.3kW,68.3
2018-01-02 0:15,2018-01-02 00:15:00 PST,76.1kW,76.1
2018-01-02 0:30,2018-01-02 00:30:00 PST,66.0kW,66
2018-01-02 0:45,2018-01-02 00:45:00 PST,70.6kW,70.6
2018-01-02 1:00,2018-01-02 01:00:00 PST,78.6kW,78.6
2018-01-02 1:15,2018-01-02 01:15:00 PST,75.9kW,75.9
2018-01-02 1:30,2018-01-02 01:30:00 PST,71.3kW,71.3
2018-01-02 1:45,2018-01-02 01:45:00 PST,73.0kW,73
2018-01-02 2:00,2018-01-02 02:00:00 PST,70.5kW,70.5
2018-01-02 2:15,2018-01-02 02:15:00 PST,63.7kW,63.7
2018-01-02 2:30,2018-01-02 02:30:00 PST,84.5kW,84.5
2018-01-02 2:45,2018-01-02 02:45:00 PST,91.2kW,91.2
2018-01-02 3:00,2018-01-02 03:00:00 PST,85.0kW,85
2018-01-02 3:15,2018-01-02 03:15:00 PST,85.9kW,85.9
2018-01-02 3:30,2018-01-02 03:30:00 PST,87.4kW,87.4
2018-01-02 3:45,2018-01-02 03:45:00 PST,79.1kW,79.1
2018-01-02 4:00,2018-01-02 04:00:00 PST,87.3kW,87.3
2018-01-02 4:15,2018-01-02 04:15:00 PST,83.0kW,83
2018-01-02 4:30,2018-01-02 04:30:00 PST,88.5kW,88.5
2018-01-02 4:45,2018-01-02 04:45:00 PST,85.8kW,85.8
2018-01-02 5:00,2018-01-02 05:00:00 PST,89.1kW,89.1
2018-01-02 5:15,2018-01-02 05:15:00 PST,89.7kW,89.7
2018-01-02 5:30,2018-01-02 05:30:00 PST,92.9kW,92.9
2018-01-02 5:45,2018-01-02 05:45:00 PST,104.9kW,104.9
2018-01-02 6:00,2018-01-02 06:00:00 PST,111.2kW,111.2
2018-01-02 6:15,2018-01-02 06:15:00 PST,133.2kW,133.2
2018-01-02 6:30,2018-01-02 06:30:00 PST,162.2kW,162.2
2018-01-02 6:45,2018-01-02 06:45:00 PST,157.2kW,157.2
2018-01-02 7:00,2018-01-02 07:00:00 PST,170.3kW,170.3
2018-01-02 7:15,2018-01-02 07:15:00 PST,192.4kW,192.4
2018-01-02 7:30,2018-01-02 07:30:00 PST,190.3kW,190.3
